prompt,completion
" Barney: I can not believe it.
"," Robin: It's just... You mean to me, Barney. And... This kind of stuff, the emotional side. This is not your type. I thought you avoid that.
"
" Barney: Maybe I will not avoid it. I am perhaps. I have not wanted for a long time. But with you, it does not look so...difficult. I know not. I thought... you felt the same.
"," Robin: Maybe. I know not. I am not good to face the feelings.There is clearly something... between us. Maybe my head said, ""stifles it in the bud"" because my heart said... something else. Listen... I feel for you. Maybe even that I love you.
"
" Barney: It's going pretty fast, do not you think?
"," Robin: What?
"
" Barney: We're good friends. Why risk everything? Friends?
"," Robin: Friends.
"
" Barney: My God. You just do it again. You've mosbysé!
"," Robin: But no.
"
" Barney: But if, little flirtatious.
"," Robin: You're right. I've just mosbyser.
"
" Barney: Why are you scared to try?
"," Robin: Because I'm afraid of how I could love you.
"
" Barney: Bad idea.
"," Robin: You're right. There must be a mistake.
"
" Barney: No.
"," Robin: I love you.
"
" Barney: Friends.
"," Robin: Friends, then.
"
" Barney: I love you.
"," Robin: Let's get married.
"
" Barney: No, you're smothering me.
"," Robin: OK, forget it.
"
" Barney: You know what? We'll see later.
"," Robin: Yeah, let's go.
"
" Lily: In the crapper, the plan. I wanted to be a famous artist.Marshall wanted to be environmental lawyer. Robin wanted to be a TV reporter.
"," Robin: I am a TV reporter. I am on the air at 4am.
"
" Lily: It continues? Bravo.
"," Robin: What someone looks, please.
"
" The one wearing the male birth control.
"," Robin: I was gonna go with ""chastity bracelet.""
"
" We got rid of that, okay? Yeah.
"," Robin: Anyway, speaking of engaged, check out what got back from being resized.
"
" (music stops)
"," Robin: Damn it, ring!
"
" (both moaning)
"," Robin: Well, you're right--
"
" Ted: Barney, come on, this is important. We need you around for a long time. Without you, we'd have to find some other sex-fueled, depraved animal to entertain us.
"," Robin:  Actually, I'm thinking about getting a dog again.
"
" Ted: No. If you get a dog, I'm going to be the one stuck taking care of it.
"," Robin:  You wouldn't have to take care of it.
"
" Ted: Really? And who watered the philodendron on your bookcase and sang it back to life?
"," Robin:  Yeah, that was made out of silk, Ted.
"
" Marshall: Okay, Robin, what you need is indeed something that buries a bone, but I'm not talking about a dog. I'm talking about a man.
"," Robin:  Here we go.
"
" Barney: Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, Big Fudge. ""With""? I am not ""with"" Nora. Wrong preposition. Later tonight I'm hoping to be on Nora, right? Or under Nora, right? Or, we're all adults, I'll just say it... behind Nora.
"," Robin:  I don't know. This will be your second date.
"
" Barney: No. I didn't even see her boobs. She just took care of me.
"," Robin:  Oh, hey, guys. This is Nate. Nate, these are my friends.
"
" Marshall: Oh, Robin, if you weren't so much stronger than me, I would slap you.
"," Robin:  What? You told me to meet someone.
"
" Marshall: I know, and, look, he seems plenty nice, but I didn't mean bring home the first guy you bump into on the street.
"," Robin:  Actually, I met him in the park.
"
" (He walks away)
"," Robin:  Okay, but you have to admit that he is a lot of fun.
"
" Marshall: Oh, I actually think he's quite intelligent for what he is.
"," Robin:  And what is he?
"
" Ted: He's totally a dog.
"," Robin:  What? You saw him hitting on someone?
"
" [END OF FLASHBACK]
"," Robin:  That last one did not happen.
"
" Marshall: Okay, you're right. He dropped it.
"," Robin:  He's not a dog.
"
" Lily: Did you send her an e-mail, or did you ""collar""?
"," Robin:  Guys, just stop hounding him. Oh, geez.
"
" Lily: This isn't happening.
"," Robin:  Hey, Nate, why don't you go play some music on the jukebox.
"
" Nate: No, I'm good.
"," Robin:  Oh, shoot, dropped my keys.
"
" Nora: We were just passing by, and I wanted to pop in for two reasons. First, I wanted to let you know that your friend Barney is being a perfect gentleman.
"," Robin:  Well, it's still early.
"
" [END OF FLASHBACK]
"," Robin: Unbelievable.
"
" Barney: Robin.
"," Robin:  Don't say the Mr. T dream, don't say the Mr. T dream, don't say the Mr. T dream...
"
" Barney: The Mr. T dream...
"," Robin: I'm lost.
"
" Nora: There's a man back there who seems fascinated by the records flipping in the jukebox.
"," Robin:  Sorry, toots. He's taken.
"
" Barney: No, Scooby, you, uh... stay!
"," Robin:  Oh, no. I got called back in to work. Can you keep an eye on him until I get back? He's new to the city, and he doesn't really know anyone.
"
" Ted: I knew it. I knew it. I knew if you got a dog, I'd wind up taking care of it.
"," Robin:  He's not a... Good night.
"
" Ted, on the phone with Robin:Robin! Hey. Hey, um, remember Scooby? Uh, well, he got out.
"," Robin:  ""Got out""? What do you mean?
"
" Marshall: I know Paul Schaffer's sandwich guy. This could happen.
"," Robin:  Guys. Get yourselves together and start looking for Scooby. I'm on my way home.
"
" Marshall: Who's Scooby?
"," Robin:  Hey, have you seen Scooby?
"
" Ted: We need you to come, this is my marriage.
"," Robin: I can not. I am in Tokyo. This is my first week. I can not leave like this. In addition, I am finally serious information.
"
" Ted (2030): It was the first English news channel in Japan. Of course, the info was a little different there.
"," Robin: The board of the Fed voted not to change the... rates.
"
" Ted: This is my marriage. You gotta be there.
"," Robin: OK, I'll be there. I gotta go. Good evening. And I'm Robin Scherbatsky. The talks have been arrested in the Middle East. Despite a promising start in the final negotiations, the talks foundered on security.
"
" Stella imagine the scene.
"," Robin: Your new husband dismounted me out three times a day.
"
" Robin has the information, while a monkey sits next to her and slap on the desktop.
"," Robin: Driven by concerns about the environment and oil prices, sales of hybrid vehicles rose 11% over last year.
"
" Robin picks up the telephone.
"," Robin: Hello?
"
" Barney: Robin, where are you?
"," Robin: I'm off to the airport.
"
" Robin comes up behind Ted.
"," Robin: What did Ted this time?
"
" Stella speaks with Robin.
"," Robin: I understand.
"
" Ted: Sorry to have run away like that.
"," Robin: It's OK. Can you imagine not traveling I did. I was on a plane, a whole day. But it was worth it to see you get married.How I would have missed it...
"
" Ted: You can not come to the wedding.
"," Robin: thank you God!
"
" Ted: What?
"," Robin: It's weird.
"
" Ted: It's not weird.
"," Robin: It's weird. You know how it feels to be one of the former married?
"
" Ted: It was broken, there is more than a year.
"," Robin: Yes, but it's not that long ago. See you marry another woman is not really something I look forward to. I just thought if I changed my mind about marriage and children, it was nice knowing you were there.
"
" Ted: So, I was your backup plan. It's flattering.
"," Robin: That's not it. It's just...
"
" Ted: Why do you mention that? There was nothing between us.
"," Robin: Maybe so. I mean, of course it does. The kind of thing that leaves no one fell swoop. I'm not a guest over.
"
" Ted: It's true. We went out together, but... we have moved on.And we got what we wanted. I marry, You have the job of your dreams in Tokyo. And they lived happily...
"," Robin: I quit my job.
"
" Ted: You what?
"," Robin: I return to New York. I thought I wanted this job, but...Getting back to my real life. And you should go back to yours.
"
" Ted: What does that mean?
"," Robin: You married. Listen, this is precipitated. It's as if you started a book by the end. You are the most romantic. You stole a blue horn for me. You tried to make rain.
"
" Ted: I did the rain.
"," Robin: It was a coincidence. After all this is how your romantic quest comes to an end? You hide in the wedding of another in his house in his life, without thinking twice. This is not the end spectacular than you deserve. It's not Ted Mosby.
"
" Bartender: Big fight?
"," Robin: Yes.
"
" Barman: There you go. It is for me.
"," Robin: You stop it. (Robin drinks the glass of a sudden) My God, so, stop.
"
" Robin knocks on a bedroom door. Barney opens half naked.
"," Robin: I spend a very bad day. I've stolen scotch at the duty free. It tells you?
"
" Barney: Let's go to your room. Far from it. And can be the whistle.
"," Robin: I have no room. In fact, I thought I could stay with you.
"
" Barney: No problem. I just need to tidy up a little. Of clothes on the floor and...
"," Robin: And a girl naked, tied to your bed.
"
" Barney: The towels in the bathroom, a real mess. So, give me 10 minutes... to restore order...
"," Robin: In addition, Barney.
"
" Wendy: Oh, we just got a new cook. You have to try the burger, it's amazing.
"," Robin: Great, we'll take five of those.
"
" Ted: Really? You want to eat here?
"," Robin: Yeah, I'm freaking starving. I just finished a seven-day cleanse.
"
" Marshall: I thought you started that yesterday.
"," Robin: I finished early, OK? (To Wendy) Five of those.
"
" Wendy: I can come back.
"," Robin: No. We always do this. We spend an hour arguing about where to eat, and we end up here anyway. I haven't eaten for two days. Can we please, for the love of God, just order something now?
"
" Ted: Chinese?
"," Robin: Oh.
"
" Barney: I just said I don't like Chinese.
"," Robin: God.
"
" Wendy: Robin, yours will be right out.
"," Robin: Of course, mine comes last. Go ahead, start without me.
"
" Marshall: Guys, guys, guys. When you've had the best burger in NY, every other burger tastes like my grandpa's feet. But you guys eat up, enjoy my grandpa's feet.
"," Robin: And you've had the best burger in New York?
"
" At McLaren's
"," Robin: You couldn't find it?
"
" Marshall: Wait, Penny Noir was a drag queen?
"," Robin: Where do you think it was?
"
" Irritated, he makes him sign leave them quiet.
"," Robin: So I take it you've tried the Corner Bistro.
"
" Marshall: That's where my story ends. Now I'm doomed to walk the earth forever searching for that green door and that red neon sign that says ""Burger.""
"," Robin: Green door, red neon sign that says ""Burger?""
"
" Marshall: Yeah.
"," Robin: I know that place. I've walked by it a million times. It's on West 12th, right off of 7th.
"
